name,site,phone,full_address,city,postal_code,state,latitude,longitude,photo,working_hours,business_status,description,location_link
The Doghouse Inn,https://thedoghouseinn.net/,+1 718-607-7196,"206 Tower Dr, Kyle, TX 78640",Kyle,78640,Texas,29.9691401,-97.8471984,https://lh3.googleusercontent.com/p/AF1QipO7ySKX3Kt-ye11_T56Vfuw0uetpRAR1hiW3UBx=w800-h500-k-no,"{""Sunday"": ""7AM-11PM"", ""Monday"": ""7AM-11PM"", ""Tuesday"": ""7AM-11PM"", ""Wednesday"": ""7AM-11PM"", ""Thursday"": ""7AM-11PM"", ""Friday"": ""7AM-11PM"", ""Saturday"": ""7AM-11PM""}",OPERATIONAL,,"https://www.google.com/maps/place/The+Doghouse+Inn/@29.969140099999997,-97.8471984,14z/data=!4m8!1m2!2m1!1sThe+Doghouse+Inn!3m4!1s0x865b55998381ac53:0x7da9fb8641c8558e!8m2!3d29.969140099999997!4d-97.8471984"
Dogs Day Away,http://www.dogsdayawaytx.com/,+1 512-783-7833,"401 Bonanza St, Kyle, TX 78640",Kyle,78640,Texas,29.978318,-97.8178646,https://lh3.googleusercontent.com/p/AF1QipNpRyFDO5fTf9iX76pPQh1SWdAcG3A5pJeskkuZ=w800-h500-k-no,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-6PM"", ""Tuesday"": ""7AM-6PM"", ""Wednesday"": ""7AM-6PM"", ""Thursday"": ""7AM-6PM"", ""Friday"": ""7AM-6PM"", ""Saturday"": ""7AM-6PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Dogs+Day+Away/@29.978317999999998,-97.8178646,14z/data=!4m8!1m2!2m1!1sDogs+Day+Away!3m4!1s0x865b54fcadadf5cf:0xf87f40c292358fef!8m2!3d29.978317999999998!4d-97.8178646"
Pet Paradise Kyle,https://www.petparadise.com/kyle.htm,+1 512-861-0800,"2361 Kohlers Crossing, Kyle, TX 78640",Kyle,78640,Texas,30.0283917,-97.852459,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noloE3euAYka30sDNSa7fufWpkkb3K3UaznL9dD-qX4iMzVU5ZEivIr0_E5GuU8CTq_-PTP3vKazk-W64qY4bGwIyFepHl3nVzk0MFp9Ujpw8_zPXhV-9z2-PZwgyGW_490ISbl=w800-h500-k-no,"{""Sunday"": ""9AM-5PM"", ""Monday"": ""6:30AM-7PM"", ""Tuesday"": ""6:30AM-7PM"", ""Wednesday"": ""6:30AM-7PM"", ""Thursday"": ""6:30AM-7PM"", ""Friday"": ""6:30AM-7PM"", ""Saturday"": ""9AM-5PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Pet+Paradise+Kyle/@30.0283917,-97.852459,14z/data=!4m8!1m2!2m1!1sPet+Paradise+Kyle!3m4!1s0x865b535de777b38d:0x1c858095279949bb!8m2!3d30.0283917!4d-97.852459"
Steeplechase Dog Park,https://www.cityofkyle.com/recreation/steeplechase-dog-park,,"135 Hallie Dr, Kyle, TX 78640",Kyle,78640,Texas,29.9928233,-97.8570046,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqVnPiwQKI6qXZdsJfxjPT2_wp5H4DMIP-Fw_06PYvXq6byvFY2Vj7-uLjZl7GcJeZFHtKJtCQFOGIlcWt83hYBIkmE8nABVOpLaOXNde29hNl10Q0mTYKu_dJQybyNgCgPHWU=w800-h500-k-no,"{""Sunday"": ""8AM-8PM"", ""Monday"": ""8AM-8PM"", ""Tuesday"": ""8AM-8PM"", ""Wednesday"": ""8AM-8PM"", ""Thursday"": ""8AM-8PM"", ""Friday"": ""8AM-8PM"", ""Saturday"": ""8AM-8PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Steeplechase+Dog+Park/@29.992823299999998,-97.8570046,14z/data=!4m8!1m2!2m1!1sSteeplechase+Dog+Park!3m4!1s0x865b5572ce58aef9:0xa6137d18fd9fe8ff!8m2!3d29.992823299999998!4d-97.8570046"
The Dog Ranch at Liberty Hill,https://www.thedogranchlibertyhill.com/?utm_source=googlemb,+1 512-515-3659,"13150 TX-29, Liberty Hill, TX 78642",Liberty Hill,78642,Texas,30.6658149,-97.902063,https://lh3.googleusercontent.com/p/AF1QipMqF-cT7QVE4bZduH_V0QUqNCefdJ-UVgZvbymC=w800-h500-k-no,"{""Sunday"": ""4-6PM"", ""Monday"": ""7AM-7PM"", ""Tuesday"": ""7AM-7PM"", ""Wednesday"": ""7AM-7PM"", ""Thursday"": ""7AM-7PM"", ""Friday"": ""7AM-7PM"", ""Saturday"": ""8AM-12PM""}",OPERATIONAL,,"https://www.google.com/maps/place/The+Dog+Ranch+at+Liberty+Hill/@30.665814899999997,-97.902063,14z/data=!4m8!1m2!2m1!1sThe+Dog+Ranch+at+Liberty+Hill!3m4!1s0x865ad70ffbb6239f:0x264317ef18c92b95!8m2!3d30.665814899999997!4d-97.902063"
Private Dog Park,,,"Liberty Hill, TX 78642",Liberty Hill,78642,Texas,30.6475217,-97.8480209,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nom7o5T_z7E7kAhB2RPZhmZn3PwdZgkRis10e-W2-2kTGc2V3qZVbvmfQVhQ6vw5pe0VxPEjNJQ5s_juv8_pTUKrLyYqleE6s4E3GrpNE1WGl56z8L-UpgAfjz0o15fJKvqHvxA=w800-h500-k-no,"{""Sunday"": ""5AM-9PM"", ""Monday"": ""5AM-9PM"", ""Tuesday"": ""5AM-9PM"", ""Wednesday"": ""5AM-9PM"", ""Thursday"": ""5AM-9PM"", ""Friday"": ""5AM-9PM"", ""Saturday"": ""5AM-9PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Private+Dog+Park/@30.6475217,-97.8480209,14z/data=!4m8!1m2!2m1!1sPrivate+Dog+Park!3m4!1s0x865b2bfc9bfe2861:0xa5ed81ce9b7792b1!8m2!3d30.6475217!4d-97.8480209"
Hill Country Pet Paradise,https://hillcountrypetparadise.com/,+1 325-248-6322,"1285 TX-29, Llano, TX 78643",Llano,78643,Texas,30.7608055,-98.6908463,https://lh3.googleusercontent.com/p/AF1QipNPrsEEX3ukwazWYaHaMPF6rS5P6hbPYLOGut8e=w800-h500-k-no,"{""Sunday"": ""Closed"", ""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""8AM-5PM""}",OPERATIONAL,Premier pet day care and boarding.,"https://www.google.com/maps/place/Hill+Country+Pet+Paradise/@30.7608055,-98.69084629999999,14z/data=!4m8!1m2!2m1!1sHill+Country+Pet+Paradise!3m4!1s0x865a4fd9abc75f2f:0x6d3d159248c1b088!8m2!3d30.7608055!4d-98.69084629999999"
Lions Park,https://www.lockhart-tx.org/page/parks_home,+1 512-398-3461,"415 Brazos St, Lockhart, TX 78644",Lockhart,78644,Texas,29.8813671,-97.6688799,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr494yB1B_92oNWWkZ45ASa_mKqtIWF5llL3HF7yEEv6YIWwmuZLLBqL36bkYnPCzZ1_AnTo1r1o5dMuEcGz5j9miobrgpTY5tUtRrA12ylh58sXSMvq5tfzoNj1giefMOP8LA2DQ=w800-h500-k-no,,OPERATIONAL,,"https://www.google.com/maps/place/Lions+Park/@29.8813671,-97.6688799,14z/data=!4m8!1m2!2m1!1sLions+Park!3m4!1s0x86435721e996c5e1:0xd71421ebe79df1ce!8m2!3d29.8813671!4d-97.6688799"
Paws Landing,https://pawslandinglh.com/,+1 512-253-3069,"1673 US-183, Leander, TX 78641",Leander,78641,Texas,30.6319352,-97.8630406,https://lh3.googleusercontent.com/p/AF1QipMIIL14bQwAY3KWmMdO4EXgBq7jaw3i4s7j8A8I=w800-h500-k-no,"{""Sunday"": ""7AM-7PM"", ""Monday"": ""6AM-8PM"", ""Tuesday"": ""6AM-8PM"", ""Wednesday"": ""6AM-8PM"", ""Thursday"": ""6AM-8PM"", ""Friday"": ""6AM-8PM"", ""Saturday"": ""7AM-7PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Paws+Landing/@30.631935199999997,-97.86304059999999,14z/data=!4m8!1m2!2m1!1sPaws+Landing!3m4!1s0x865b2bedd0560965:0xf8191d1de3e6d1bc!8m2!3d30.631935199999997!4d-97.86304059999999"
Hounds Town - Leander,https://houndstownusa.com/locations/leander/?utm_source=google,+1 512-986-7317,"10181 E Crystal Falls Pkwy Suite 102, Leander, TX 78641",Leander,78641,Texas,30.5587034,-97.8434674,https://lh3.googleusercontent.com/p/AF1QipORyWIjOvjHi-aT9wOM3jj21sPxihRUpLo7GEvu=w800-h500-k-no,"{""Sunday"": ""11AM-1PM"", ""Monday"": ""6AM-7PM"", ""Tuesday"": ""6AM-7PM"", ""Wednesday"": ""6AM-7PM"", ""Thursday"": ""6AM-7PM"", ""Friday"": ""6AM-7PM"", ""Saturday"": ""9AM-4PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Hounds+Town+-+Leander/@30.5587034,-97.8434674,14z/data=!4m8!1m2!2m1!1sHounds+Town+-+Leander!3m4!1s0x865b2dccea7cacd5:0xadba423bbbba4e1d!8m2!3d30.5587034!4d-97.8434674"
Unleashed Unlimited,http://unleashedunlimited.com/,+1 512-778-0280,"1410 Live Oak Rd, Leander, TX 78641",Leander,78641,Texas,30.6132197,-97.8980784,https://lh3.googleusercontent.com/p/AF1QipOLt53Ygk9O2xUo-9tm7sVq2ulMNfqoWespKEO1=w800-h500-k-no,"{""Sunday"": ""7AM-7PM"", ""Monday"": ""7AM-7PM"", ""Tuesday"": ""7AM-7PM"", ""Wednesday"": ""7AM-7PM"", ""Thursday"": ""7AM-7PM"", ""Friday"": ""7AM-7PM"", ""Saturday"": ""7AM-7PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Unleashed+Unlimited/@30.6132197,-97.89807839999999,14z/data=!4m8!1m2!2m1!1sUnleashed+Unlimited!3m4!1s0x8644ce3370ea5dd1:0x99f2d9678c3cbf8e!8m2!3d30.6132197!4d-97.89807839999999"
BarnDog,http://www.barndogtx.com/,+1 512-909-3141,"180 Denman Rd, Luling, TX 78648",Luling,78648,Texas,29.6189916,-97.7018429,https://lh3.googleusercontent.com/p/AF1QipM2xepmHcqaKZzMsgEDjXsFgNk5wAGt-t7c_MIC=w800-h500-k-no,,OPERATIONAL,"BarnDog is a unique experience for your dog. It is a place where your dog can be a reaI dog, doing dog activities all day. We play from sunup to sundown, with breaks for snacks and cuddles. We go on field trips to the San Marcos River, where we splash around and cool off. We have pools and toys in the yards for cooling off and entertainment. We play mental games, like ""seek n find"". It is a sensory exercise where they use their best sense (nose) to find treasures (treats). I have 15+ years of vet tech experience and I am a lifelong animal Lover, dedicating time, love, energy and resources on rescuing, rehabilitating and rehoming pups. I offer daycare and shuttle services for your convenience. I promise to send them home tired. :)","https://www.google.com/maps/place/BarnDog/@29.618991599999998,-97.7018429,14z/data=!4m8!1m2!2m1!1sBarnDog!3m4!1s0x8644abd3e752ef1b:0xd4a8b229c9912a20!8m2!3d29.618991599999998!4d-97.7018429"
Jumping Jack Dog Ranch,http://jumpingjackranch.com/,+1 512-580-3617,"13731 Carpenter Ln, Manchaca, TX 78652",Manchaca,78652,Texas,30.1294115,-97.8810084,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq3724QW8TPKulrE6HQTkUI6koKbI0BZRmdHX13idmeg5b7VQ3Aevsw1vgDF8Unfr0kar-YVyl9DomhnCl3L_afJ-PNyHkrT_wTgFpxYKSpdo0qZtsr7jE_llyuOpYpUgT_zBF-=w800-h500-k-no,"{""Sunday"": ""9AM-6PM"", ""Monday"": ""6:30-10AM,3-7:30PM"", ""Tuesday"": ""6:30-10AM,3-7:30PM"", ""Wednesday"": ""6:30-10AM,3-7:30PM"", ""Thursday"": ""6:30-10AM,3-7:30PM"", ""Friday"": ""6:30-10AM,3-7:30PM"", ""Saturday"": ""9AM-6PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Jumping+Jack+Dog+Ranch/@30.1294115,-97.8810084,14z/data=!4m8!1m2!2m1!1sJumping+Jack+Dog+Ranch!3m4!1s0x865b4e6d5c350a73:0xf4a7d21e184be2b9!8m2!3d30.1294115!4d-97.8810084"
Neighbors Dog Park & Cafe,http://www.neighborsatx.com/,+1 512-520-8666,"5609 S Congress Ave #220, Austin, TX 78745",Austin,78745,Texas,30.2037981,-97.774414,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nptAhFZluQS_koso3zjnzPgHaoCNhJeYY58i-kzSd_5OKMJcUB-X1u3kdp_VcWSYvdKcca-q-8pe7T9Facencd9uaKls5RPG686-ngQAFr4yKhEoBv5TfyndjLCKOlkqa_IDrB6Gw=w800-h500-k-no,"{""Sunday"": ""8AM-2PM,5-9PM"", ""Monday"": ""8AM-2PM,5-9PM"", ""Tuesday"": ""8AM-2PM,5-9PM"", ""Wednesday"": ""8AM-2PM,5-9PM"", ""Thursday"": ""8AM-2PM,5-9PM"", ""Friday"": ""8AM-2PM,5-9PM"", ""Saturday"": ""8AM-2PM,5-9PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Neighbors+Dog+Park+%26+Cafe/@30.2037981,-97.774414,14z/data=!4m8!1m2!2m1!1sNeighbors+Dog+Park+%26+Cafe!3m4!1s0x8644b337caba71c9:0xe6a1d0a818f745ba!8m2!3d30.2037981!4d-97.774414"
Fossil Ridge Doggie Playcare,http://www.fossilridgeatx.com/,+1 512-609-8181,"10704 Creek View Dr, Austin, TX 78748",Austin,78748,Texas,30.158866,-97.823869,https://lh3.googleusercontent.com/p/AF1QipOB8WB29FUCZ3Nnq5p0_j3BDXeDUxGBtvNvBPKZ=w800-h500-k-no,"{""Sunday"": ""Closed"", ""Monday"": ""8AM-7PM"", ""Tuesday"": ""8AM-7PM"", ""Wednesday"": ""8AM-7PM"", ""Thursday"": ""8AM-7PM"", ""Friday"": ""Closed"", ""Saturday"": ""Closed""}",OPERATIONAL,,"https://www.google.com/maps/place/Fossil+Ridge+Doggie+Playcare/@30.158866,-97.823869,14z/data=!4m8!1m2!2m1!1sFossil+Ridge+Doggie+Playcare!3m4!1s0x865b4d7813f1f95f:0xf4bc916879b7d1d!8m2!3d30.158866!4d-97.823869"
Dog Park Blue,,,"7000-7098 Onion Creek Dr, Austin, TX 78744",Austin,78744,Texas,30.1720231,-97.7434921,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr-mt27h6CcN136FEJ38WweWso4lDa-qhX6u90_g_IbvQnQ5Q3vm3IWmW7zKmxAQB4Dcxk9WRVtni0xZNs-tEwI3A6mWLwylXRI5PV4vNq5TWVIUvraPabflVDRJFMmBqVFp5luSw=w800-h500-k-no,"{""Sunday"": ""3AM-12AM"", ""Monday"": ""3AM-12AM"", ""Tuesday"": ""3AM-12AM"", ""Wednesday"": ""3AM-12AM"", ""Thursday"": ""3AM-12AM"", ""Friday"": ""3AM-1AM"", ""Saturday"": ""3AM-1AM""}",OPERATIONAL,,"https://www.google.com/maps/place/Dog+Park+Blue/@30.172023099999997,-97.7434921,14z/data=!4m8!1m2!2m1!1sDog+Park+Blue!3m4!1s0x8644b307db10631f:0x30d4d584b5c5022a!8m2!3d30.172023099999997!4d-97.7434921"
Ruff Park,,,"1610 2nd St, Marble Falls, TX 78654",Marble Falls,78654,Texas,30.5746245,-98.2865769,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqxQOcwYcIhG3kW13tWnrk6zvuXSTuEh5LDv0uIXGr_OojFJx3umMddehqSX6smmjd9gvLU53yJump6rgnRUjwBdsxx75wyVDgvcTdz1RoAzbPQbtqg2-J2wtpZBf3J1knabIgb2Q=w800-h500-k-no,"{""Sunday"": ""6AM-11:30PM"", ""Monday"": ""6AM-11:30PM"", ""Tuesday"": ""6AM-11:30PM"", ""Wednesday"": ""6AM-11:30PM"", ""Thursday"": ""6AM-11:30PM"", ""Friday"": ""6AM-11:30PM"", ""Saturday"": ""6AM-11:30PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Ruff+Park/@30.5746245,-98.2865769,14z/data=!4m8!1m2!2m1!1sRuff+Park!3m4!1s0x865b1d7034963e2f:0x70170d2166c4cee0!8m2!3d30.5746245!4d-98.2865769"
Cactus Inn & RV Parking,https://sites.google.com/cactusinn.net/cactus-inn/home,+1 806-779-2346,"101 Pine St, McLean, TX 79057",McLean,79057,Texas,35.2339304,-100.608,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npsDEy7VZnUINm_Lvr_0NVdcP2ZaAW-Vu5KA2nCgfPVa1O1RVRIJaW015H3VltDDHHeDm5OrvRfEPHnpUJdfkJI3OcheYWNpG9CZ84GwlpmY8oQqyAUKCZXjSdSbRF8AnUWuC_rew=w800-h500-k-no,,OPERATIONAL,,"https://www.google.com/maps/place/Cactus+Inn+%26+RV+Parking/@35.2339304,-100.60799999999999,14z/data=!4m8!1m2!2m1!1sCactus+Inn+%26+RV+Parking!3m4!1s0x87aa0832711af521:0x3715543e96d7a691!8m2!3d35.2339304!4d-100.60799999999999"
Hobart Street Dog Park,,+1 806-669-1044,"Pampa, TX 79065",Pampa,79065,Texas,35.5285733,-100.9707381,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no8U2IR-WjBLZRb2YgqmU-94wJhHqskrw9xwrL0IZu5-xb_07YOfwAkWtvPuYWxDAUN0v1j6CbD8FDNIBU7pwlq9xnaiZg--Tr5x0mj-9AyFsc9d-LQLg3vtoDA7PlImMZ2wZdD=w800-h500-k-no,,OPERATIONAL,,"https://www.google.com/maps/place/Hobart+Street+Dog+Park/@35.5285733,-100.97073809999999,14z/data=!4m8!1m2!2m1!1sHobart+Street+Dog+Park!3m4!1s0x870749db5e0deb31:0x5a65eb09ec39a606!8m2!3d35.5285733!4d-100.97073809999999"
NorthBark Dog Park,http://www.dallasparks.org/Facilities/Facility/Details/NorthBark-Dog-Park-359,+1 214-670-1923,"4899 Gramercy Oaks Dr, Dallas, TX 75287",Dallas,75287,Texas,33.0111194,-96.820073,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrwYUF7mPm2vqM2GItx6MTqgKfC9tju26n3uYNXmc-CF4JXiT4dpSAMtDvMnzJIKmfvRG5Zp-XtDHIDKCmG5f8G7WfVgeUhg56KeT76Q7qQFnjpkJOpmK-u10Ms0VhxMS-NkZ5GIQ=w800-h500-k-no,"{""Sunday"": ""5AM-11PM"", ""Monday"": ""5AM-11PM"", ""Tuesday"": ""Closed"", ""Wednesday"": ""5AM-11PM"", ""Thursday"": ""5AM-11PM"", ""Friday"": ""5AM-11PM"", ""Saturday"": ""5AM-11PM""}",OPERATIONAL,"This 22-acre off-leash dog park features a lake, trails, a pavilion, showers & more.","https://www.google.com/maps/place/NorthBark+Dog+Park/@33.0111194,-96.820073,14z/data=!4m8!1m2!2m1!1sNorthBark+Dog+Park!3m4!1s0x864c239160cbd50d:0xb8e09d9a4546427b!8m2!3d33.0111194!4d-96.820073"
Digg Pet Resort,http://www.diggpetresort.com/,+1 469-460-1553,"14695 Parvin Rd, Prosper, TX 75078",Prosper,75078,Texas,33.2535149,-96.8825648,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npQrcATH9Egj08PsvpNk8EpSTFeOtZzAJR1NStmF-AsyXPHDPHjcfpwYpAcaJFD0U8g53qv8b9did4aRqdHX_Byza8qZNlTiwKmRaDzKbOyOtMUNFN1o85H_YLQ-d3KMc4Woxhq=w800-h500-k-no,"{""Sunday"": ""Closed"", ""Monday"": ""7-9AM,3-6PM"", ""Tuesday"": ""7-9AM,3-6PM"", ""Wednesday"": ""7-9AM,3-6PM"", ""Thursday"": ""7-9AM,3-6PM"", ""Friday"": ""7-9AM,3-6PM"", ""Saturday"": ""4-5PM""}",OPERATIONAL,"Dog Daycare and Boarding Facility:
Conveniently located in West Prosper surrounded by beautiful neighborhoods: Windsong Ranch, Winn Ridge, Union Park, Sandbrock Ranch, Arrowbrooke and Sutton Fields.
Large indoor play areas for large and small dogs

13,000 square feet of sectioned outdoor play space with beautiful shade trees and large artificial turf areas with covered shade structures

32 Clean, safe and secure overnight suites in a variety of sizes

Family owned and operated","https://www.google.com/maps/place/Digg+Pet+Resort/@33.2535149,-96.8825648,14z/data=!4m8!1m2!2m1!1sDigg+Pet+Resort!3m4!1s0x864c47dda7e80419:0x618bba9bb95256fb!8m2!3d33.2535149!4d-96.8825648"
Kingdom Pet Boarding,http://kingdompetboarding.com/,+1 903-368-3896,"Co Rd 4708, Ben Wheeler, TX 75754",Ben Wheeler,75754,Texas,32.3881698,-95.6949292,https://lh3.googleusercontent.com/p/AF1QipNbon8Tlln1V2LHk5sXf9fuRKafDBARa4OUCn9b=w800-h500-k-no,"{""Sunday"": ""8AM-6PM"", ""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-6PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""8AM-6PM""}",OPERATIONAL,"By appointment only please.

Dog Boarding in Edom Texas.
large runs and climate controlled.
We don't put your fur baby in a cages.
3 play yards and constant care.","https://www.google.com/maps/place/Kingdom+Pet+Boarding/@32.3881698,-95.69492919999999,14z/data=!4m8!1m2!2m1!1sKingdom+Pet+Boarding!3m4!1s0x8649a963ddf5c0eb:0x3be112b39269add4!8m2!3d32.3881698!4d-95.69492919999999"
Dog Park at Love’s Travel Stops,https://www.loves.com/dogparks,+1 806-358-2551,"14701 I-40, Amarillo, TX 79124",Amarillo,79124,Texas,35.1884033,-102.0109526,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npuCORPoy5QjakBJLztw_BSMnCmFXJAZKxAr7JjjSSFbfoGdemNBQ3km2st5mr4cUabHVNXpcMXtKOE8TDU3HMDmU3ldW3pbCVD1iGkkSnpzEqX4AC37VX98F7eJwj19XqCiW2hlQ=w800-h500-k-no,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",OPERATIONAL,,"https://www.google.com/maps/place/Dog+Park+at+Love%E2%80%99s+Travel+Stops/@35.1884033,-102.0109526,14z/data=!4m8!1m2!2m1!1sDog+Park+at+Love%E2%80%99s+Travel+Stops!3m4!1s0x8701575363e7fdf1:0xb2c8240bf82f8b6c!8m2!3d35.1884033!4d-102.0109526"
Thompson Dog Park,,,"2420 N Hughes St, Amarillo, TX 79107",Amarillo,79107,Texas,35.2433998,-101.837722,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noo1jopQC6QhziaThp8-47mgwNAigG6zU9ltWsXHsdDJJZZpOwfu-Cff6Dt1zdKSwOIiuGb573cU4FT1Zj8DlUoac08wjFnXwZiBDFZ5uy_8c3uTGQm50G-j1lRHvmI1AQBCy6j=w800-h500-k-no,,OPERATIONAL,,"https://www.google.com/maps/place/Thompson+Dog+Park/@35.2433998,-101.837722,14z/data=!4m8!1m2!2m1!1sThompson+Dog+Park!3m4!1s0x87014f652c466629:0xdc512b95c0efa23e!8m2!3d35.2433998!4d-101.837722"
Central Bark Amarillo,https://www.centralbarkusa.com/amarillo/,+1 806-437-1060,"5001 S Western St, Amarillo, TX 79109",Amarillo,79109,Texas,35.1554152,-101.8833639,https://lh3.googleusercontent.com/p/AF1QipOWWsCKFOPL97xMv6wL3TaSqZS9lEZPDnvGeTY2=w800-h500-k-no,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-6:30PM"", ""Tuesday"": ""7AM-6:30PM"", ""Wednesday"": ""7AM-6:30PM"", ""Thursday"": ""7AM-6:30PM"", ""Friday"": ""7AM-6:30PM"", ""Saturday"": ""Closed""}",OPERATIONAL,,"https://www.google.com/maps/place/Central+Bark+Amarillo/@35.1554152,-101.88336389999999,14z/data=!4m8!1m2!2m1!1sCentral+Bark+Amarillo!3m4!1s0x87014ffbd41c0ebd:0xbf5c3f804e76be75!8m2!3d35.1554152!4d-101.88336389999999"
Blanco Road Dog Park in Phil Hardberger Park,https://www.philhardbergerpark.org/dog-parks,,"13203 Blanco Rd, San Antonio, TX 78216",San Antonio,78216,Texas,29.5598922,-98.5192629,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np0FOh-Z6F7n01vo_nkkYm32TM7HRAvZ96AcH7KHL2xsYEWRsQ7LGM05xM6dGEfPue10PRknIkjK3MEAVFUzLjR8UyyJB_hkUeR_A9bq5I4IssYmiKw56afO0FTrrTGvzmoPVljFw=w800-h500-k-no,"{""Sunday"": ""7:30AM-7:30PM"", ""Monday"": ""7:30AM-7:30PM"", ""Tuesday"": ""7:30AM-7:30PM"", ""Wednesday"": ""7:30AM-7:30PM"", ""Thursday"": ""7:30AM-7:30PM"", ""Friday"": ""7:30AM-7:30PM"", ""Saturday"": ""7:30AM-7:30PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Blanco+Road+Dog+Park+in+Phil+Hardberger+Park/@29.5598922,-98.5192629,14z/data=!4m8!1m2!2m1!1sBlanco+Road+Dog+Park+in+Phil+Hardberger+Park!3m4!1s0x865c61f9e198f323:0x8f33de20197cc1af!8m2!3d29.5598922!4d-98.5192629"
Paw Park at The Greenline,https://livebrooks.com/the-greenline/,,"8020 Dave Erwin Dr, San Antonio, TX 78235",San Antonio,78235,Texas,29.3446435,-98.4534135,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrkX_LImUwPkaSjIaeq7o7Q1jwNba04raMEVymrOe5ggzsciE1MuUnvBu1aBNHB8AL6F-dryEk-L6eUvEPYg5LKHiANLDnZprkL-yRoPY8M-5eYSlNMfCthzJkfnRqoUPvPVSJv=w800-h500-k-no,"{""Sunday"": ""6AM-11PM"", ""Monday"": ""6AM-11PM"", ""Tuesday"": ""6AM-11PM"", ""Wednesday"": ""6AM-11PM"", ""Thursday"": ""6AM-11PM"", ""Friday"": ""6AM-11PM"", ""Saturday"": ""6AM-11PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Paw+Park+at+The+Greenline/@29.3446435,-98.4534135,14z/data=!4m8!1m2!2m1!1sPaw+Park+at+The+Greenline!3m4!1s0x865cf73ccd8ce0b9:0x8b359cf80cab8c6!8m2!3d29.3446435!4d-98.4534135"
McAllister Dog Park,https://www.sanantonio.gov/ParksAndRec/Parks-Facilities/All-Parks-Facilities/Parks-Facilities-Details/ArtMID/14820/ArticleID/2578/McAllister-Park,+1 210-207-7275,"13102 Jones Maltsberger Rd, San Antonio, TX 78247",San Antonio,78247,Texas,29.5508059,-98.4448154,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq2GOGZwCDyKAisMj_Um6mn5nUTxMIZWXSpIE2yImvfoOECxyBLipS_BhMSKVsMp_O5AsAFjwis4rH_VG_RQsyq1HRf2Bm2PdS0CTjeKOSW54yNTWxVq7f2hZ8DltJhem8Em-s=w800-h500-k-no,"{""Sunday"": ""5AM-10PM"", ""Monday"": ""5AM-10PM"", ""Tuesday"": ""5AM-10PM"", ""Wednesday"": ""5AM-10PM"", ""Thursday"": ""5AM-10PM"", ""Friday"": ""5AM-10PM"", ""Saturday"": ""5AM-10PM""}",OPERATIONAL,"1.5-acre, off-leash dog park featuring a shaded, open play area, picnic shelter & paved trails.","https://www.google.com/maps/place/McAllister+Dog+Park/@29.5508059,-98.4448154,14z/data=!4m8!1m2!2m1!1sMcAllister+Dog+Park!3m4!1s0x865c8af0a7bcf995:0xaaa6e3f46ccbae91!8m2!3d29.5508059!4d-98.4448154"
